Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
11/21/25,320.13,1336283,6.88,2.20,2.18,320.09,36.62,318.54,327.00,308.50,36.62
11/20/25,313.25,3267403,-16.50,-5.00,-5.00,313.25,33.70,335.81,340.79,309.30,33.70
11/19/25,329.75,2602427,12.53,3.95,3.95,329.75,40.74,321.75,332.28,319.48,40.74
11/18/25,317.22,2586884,-5.90,-1.83,-1.83,317.22,35.39,319.62,326.49,309.11,35.39
11/17/25,323.12,2770151,4.81,1.51,1.51,323.12,37.91,316.00,334.36,312.00,37.91
11/14/25,318.31,2237526,-0.23,-0.07,-0.07,318.31,35.86,309.71,330.43,305.00,35.86
11/13/25,318.54,2131540,-9.65,-2.94,-2.94,318.54,35.95,326.07,328.56,313.40,35.95
11/12/25,328.19,2500341,1.31,0.40,0.40,328.19,40.07,329.79,345.24,327.16,40.07
11/11/25,326.88,2179482,4.60,1.43,1.43,326.88,39.51,325.35,330.00,318.47,39.51
11/10/25,322.28,2704757,18.29,6.02,6.02,322.28,37.55,307.46,326.18,307.46,37.55
11/07/25,303.99,2992370,13.85,4.77,4.77,303.99,29.74,285.63,305.72,285.03,29.74
11/06/25,290.14,4730760,-19.54,-6.31,-6.31,290.14,23.83,306.89,310.26,288.03,23.83
11/05/25,309.68,3482773,-0.11,-0.04,-0.04,309.68,32.17,308.05,327.21,307.12,32.17
11/04/25,309.79,3856384,-22.54,-6.78,-6.78,309.79,32.22,322.90,326.40,309.67,32.22
11/03/25,332.33,4866566,25.79,8.41,8.41,332.33,41.84,306.64,334.75,302.42,41.84
10/31/25,306.54,5704472,1.47,0.48,0.48,306.54,30.83,308.28,309.66,298.08,30.83
10/30/25,305.07,12216650,-48.88,-13.81,-13.81,305.07,30.20,312.10,326.71,301.26,30.20
10/29/25,353.95,5075364,-8.25,-2.28,-2.28,353.95,51.07,359.94,369.56,350.16,51.07
10/28/25,362.20,2985108,7.05,1.99,1.99,362.20,54.59,369.55,372.31,359.77,54.59
10/27/25,355.15,1902673,3.95,1.12,1.12,355.15,51.58,356.30,363.71,351.31,51.58
10/24/25,351.20,2666612,9.19,2.69,2.69,351.20,49.89,344.55,357.09,344.50,49.89
10/23/25,342.01,3423426,15.13,4.63,4.63,342.01,45.97,315.00,342.25,315.00,45.97
10/22/25,326.88,5801891,-28.99,-8.15,-8.15,326.88,39.51,349.46,350.00,310.01,39.51
10/21/25,355.87,2767503,18.27,5.41,5.41,355.87,51.89,345.71,357.68,343.02,51.89
10/20/25,337.60,2401309,3.79,1.14,1.14,337.60,44.09,335.18,341.43,324.43,44.09
10/17/25,333.81,3646831,-10.90,-3.16,-3.16,333.81,42.47,347.00,349.76,324.66,42.47
10/16/25,344.71,1918017,-10.71,-3.01,-3.01,344.71,47.12,355.12,364.37,342.08,47.12
10/15/25,355.42,2392637,9.51,2.75,2.75,355.42,51.69,351.37,363.22,350.67,51.69
10/14/25,345.91,2585490,7.63,2.26,2.26,345.91,47.64,329.14,349.83,323.45,47.64
10/13/25,338.28,2375979,9.04,2.75,2.75,338.28,44.38,333.52,341.98,329.50,44.38
10/10/25,329.24,3859026,-30.79,-8.55,-8.55,329.24,40.52,360.00,364.00,327.52,40.52
10/09/25,360.03,2485672,-0.88,-0.24,-0.24,360.03,53.66,362.24,362.98,347.80,53.66
10/08/25,360.91,2698952,-9.40,-2.54,-2.54,360.91,54.04,370.10,373.00,360.63,54.04
10/07/25,370.31,2339308,0.71,0.19,0.19,370.31,58.05,371.86,378.05,363.00,58.05
10/06/25,369.60,1801273,-6.12,-1.63,-1.63,369.60,57.75,379.56,380.02,366.00,57.75
10/03/25,375.72,1937278,-18.99,-4.81,-4.81,375.72,60.36,395.88,396.75,373.72,60.36
10/02/25,394.71,1596238,-0.70,-0.18,-0.18,394.71,68.46,400.00,401.00,386.41,68.46
10/01/25,395.41,3300493,18.17,4.82,4.82,395.41,68.76,388.32,398.89,378.45,68.76
09/30/25,377.24,2978746,-15.42,-3.93,-3.93,377.24,61.01,389.53,395.63,373.90,61.01
09/29/25,392.66,3933259,23.37,6.33,6.33,392.66,67.59,373.00,394.93,370.50,67.59
09/26/25,369.29,1933501,-2.09,-0.56,-0.56,369.29,57.61,370.11,373.00,360.33,57.61
09/25/25,371.38,3074713,-3.43,-0.92,-0.92,371.38,58.51,360.17,378.50,355.00,58.51
09/24/25,374.81,1639573,-3.29,-0.87,-0.87,374.81,59.97,379.30,379.79,368.66,59.97
09/23/25,378.10,3427871,-12.75,-3.26,-3.26,378.10,61.37,390.12,394.45,376.38,61.37
09/22/25,390.85,1701987,-1.04,-0.27,-0.27,390.85,66.82,387.84,392.93,384.00,66.82
09/19/25,391.89,5380811,13.73,3.63,3.63,391.89,67.26,381.54,393.00,380.91,67.26
09/18/25,378.16,3885444,0.10,0.03,0.03,378.16,61.40,381.78,396.96,376.61,61.40
09/17/25,378.06,3490951,13.47,3.69,3.69,378.06,61.36,369.00,379.75,368.56,61.36
09/16/25,364.59,1178610,-0.76,-0.21,-0.21,364.59,55.61,365.25,367.08,359.38,55.61
09/15/25,365.35,1474170,3.58,0.99,0.99,365.35,55.93,363.35,369.45,360.56,55.93
09/12/25,361.77,2877391,7.53,2.13,2.13,361.77,54.40,352.68,370.54,349.07,54.40
09/11/25,354.24,3508026,-10.88,-2.98,-2.98,354.24,51.19,367.73,367.73,352.63,51.19
09/10/25,365.12,2953472,-9.88,-2.63,-2.63,365.12,55.83,376.80,381.89,363.03,55.83
09/09/25,375.00,2036683,2.79,0.75,0.75,375.00,60.05,373.31,376.19,368.40,60.05
09/08/25,372.21,1697847,3.33,0.90,0.90,372.21,58.86,371.00,378.32,364.50,58.86
09/05/25,368.88,2445297,-1.29,-0.35,-0.35,368.88,57.44,375.19,377.50,356.48,57.44
09/04/25,370.17,1408313,7.85,2.17,2.17,370.17,57.99,364.38,372.04,358.00,57.99
09/03/25,362.32,1470661,-4.07,-1.11,-1.11,362.32,54.64,367.32,371.58,359.94,54.64
09/02/25,366.39,2139827,-5.53,-1.49,-1.49,366.39,56.38,362.04,369.31,354.10,56.38
08/29/25,371.92,1836875,-5.46,-1.45,-1.45,371.92,58.74,377.00,378.54,366.22,58.74
08/28/25,377.38,1498106,10.03,2.73,2.73,377.38,61.07,369.92,377.38,369.83,61.07
08/27/25,367.35,2072557,-4.85,-1.30,-1.30,367.35,56.79,370.00,373.98,367.35,56.79
08/26/25,372.20,2320913,10.08,2.78,2.78,372.20,58.86,362.00,372.40,357.80,58.86
08/25/25,362.12,3487407,4.31,1.20,1.20,362.12,54.55,354.39,368.38,353.00,54.55
08/22/25,357.81,3476169,18.74,5.53,5.53,357.81,52.71,340.14,362.86,336.62,52.71
08/21/25,339.07,1609017,0.46,0.14,0.14,339.07,44.72,335.00,341.46,331.50,44.72
08/20/25,338.61,4088356,-5.63,-1.64,-1.64,338.61,44.52,327.00,341.54,318.17,44.52
08/19/25,344.24,2388745,-15.27,-4.25,-4.25,344.24,46.92,359.16,361.14,342.30,46.92
08/18/25,359.51,3247374,9.52,2.72,2.72,359.51,53.44,350.50,363.50,349.19,53.44
08/15/25,349.99,3653410,7.40,2.16,2.16,349.99,49.38,344.16,351.54,338.47,49.38
08/14/25,342.59,1752125,-7.28,-2.08,-2.08,342.59,46.22,346.45,348.87,340.65,46.22
08/13/25,349.87,2329779,4.76,1.38,1.38,349.87,49.33,347.79,351.49,343.40,49.33
08/12/25,345.11,2745825,-0.14,-0.04,-0.04,345.11,47.29,352.00,354.50,335.16,47.29
08/11/25,345.25,2263296,-2.31,-0.66,-0.66,345.25,47.35,347.80,349.40,339.11,47.35
08/08/25,347.56,2820948,-10.19,-2.85,-2.85,347.56,48.34,356.73,357.23,341.35,48.34
08/07/25,357.75,2180763,2.86,0.81,0.81,357.75,52.69,362.84,368.37,351.46,52.69
08/06/25,354.89,1988260,4.15,1.18,1.18,354.89,51.47,351.17,357.42,345.72,51.47
08/05/25,350.74,3351588,-9.92,-2.75,-2.75,350.74,49.70,365.09,369.49,346.18,49.70
08/04/25,360.66,3786572,-7.12,-1.94,-1.94,360.66,53.93,369.72,371.44,352.37,53.93
08/01/25,367.78,5050500,-22.39,-5.74,-5.74,367.78,56.97,380.99,384.26,365.00,56.97
07/31/25,390.17,10884180,56.58,16.96,16.96,390.17,66.53,390.24,413.34,383.50,66.53
07/30/25,333.59,3986361,-2.91,-0.86,-0.86,333.59,42.38,336.46,340.80,328.58,42.38
07/29/25,336.50,3503736,0.17,0.05,0.05,336.50,43.62,338.45,344.96,327.13,43.62
07/28/25,336.33,2266154,4.21,1.27,1.27,336.33,43.55,335.81,339.82,333.01,43.55
07/25/25,332.12,2065892,6.03,1.85,1.85,332.12,41.75,336.00,339.83,328.87,41.75
07/24/25,326.09,2656426,-16.91,-4.93,-4.93,326.09,39.18,342.40,342.40,325.86,39.18
07/23/25,343.00,3224257,1.44,0.42,0.42,343.00,46.39,338.79,343.44,331.84,46.39
07/22/25,341.56,2630897,-0.36,-0.11,-0.11,341.56,45.78,341.77,346.88,331.13,45.78
07/21/25,341.92,1562203,-5.60,-1.61,-1.61,341.92,45.93,344.09,345.89,338.84,45.93
07/18/25,347.52,2800516,1.42,0.41,0.41,347.52,48.32,349.17,349.78,336.72,48.32
07/17/25,346.10,3341748,-5.92,-1.68,-1.68,346.10,47.72,352.05,358.58,344.29,47.72
07/16/25,352.02,3574410,3.61,1.04,1.04,352.02,50.24,351.00,358.49,347.00,50.24
07/15/25,348.41,1871571,1.07,0.31,0.31,348.41,48.70,346.51,349.02,337.55,48.70
07/14/25,347.34,1956668,3.67,1.07,1.07,347.34,48.25,346.25,354.53,342.81,48.25
07/11/25,343.67,1874061,-1.88,-0.54,-0.54,343.67,46.68,344.46,351.94,341.60,46.68
07/10/25,345.55,2133334,-5.54,-1.58,-1.58,345.55,47.48,349.35,357.47,345.41,47.48
07/09/25,351.09,1902027,5.17,1.49,1.49,351.09,49.85,349.92,353.93,343.00,49.85
07/08/25,345.92,2840613,-11.40,-3.19,-3.19,345.92,47.64,361.75,364.00,342.70,47.64
07/07/25,357.32,3160591,8.99,2.58,2.58,357.32,52.51,347.70,359.90,345.90,52.51
07/03/25,348.33,1542889,4.94,1.44,1.44,348.33,48.67,344.78,349.90,338.57,48.67
07/02/25,343.39,2991828,5.13,1.52,1.52,343.39,46.56,338.08,348.00,336.88,46.56
07/01/25,338.26,3332191,1.30,0.39,0.39,338.26,44.37,335.90,343.89,332.58,44.37
06/30/25,336.96,4572712,17.70,5.54,5.54,336.96,43.82,323.00,339.34,323.00,43.82
