Date,Price,LogReturn,LogReturn_Pct,GARCH_30D_Vol_Forecast,GARCH_1D_Vol_Forecast,Alpha,Beta,CVNA_Price,ATM_Strike,DTE,Call_IV,Put_IV,Avg_IV,Call_Price,Put_Price,Vol_Spread,Signal,Signal_Strength
11/22/2021,284.69,-0.024393569,-2.439356914,0.344076454,0.316944403,0.058725313,0.905297186,284.69,285,31,0.3653,0.374,0.3696,0,0,-0.025523546,NO_TRADE,0.069057213
11/23/2021,282.01,-0.009458338,-0.945833767,0.319378753,0.299140445,0.073312962,0.914067613,282.01,280,30,0.3637,0.3805,0.3721,0,10.18,-0.052721247,SHORT_STRADDLE,0.141685696
11/24/2021,290.2,0.028627809,2.862780915,0.311136727,0.290708122,0.073222803,0.914048436,290.2,290,29,0.3642,0.3848,0.3745,10.35,0,-0.063363273,SHORT_STRADDLE,0.16919432
11/26/2021,291.11,0.003130862,0.313086217,0.326947231,0.309114947,0.072856334,0.913646201,291.11,290,27,0.4379,0.4066,0.4223,10.35,0,-0.095352769,SHORT_STRADDLE,0.225793911
11/29/2021,291.97,0.002949855,0.294985465,0.31613612,0.297646638,0.072843497,0.913564669,291.97,290,32,0.3983,0.3791,0.3887,0,0,-0.07256388,SHORT_STRADDLE,0.186683509
11/30/2021,280.42,-0.040362578,-4.036257797,0.267606245,0.26684064,0.044002895,0.946545481,280.42,280,31,0.4446,0.3934,0.419,21.33,8.2,-0.151393755,SHORT_STRADDLE,0.36132161
12/1/2021,266.54,-0.050764153,-5.076415314,0.352418004,0.34105474,0.063079206,0.907675863,266.54,270,30,0.4568,0.4153,0.4361,0,12.3,-0.083681996,SHORT_STRADDLE,0.191887173
12/2/2021,265.65,-0.003344673,-0.334467325,0.393879707,0.389063346,0.071710346,0.911907791,265.65,265,29,0.4556,0.4279,0.4418,0,0,-0.047920293,NO_TRADE,0.108466031
12/3/2021,261.35,-0.016319148,-1.631914774,0.38833852,0.378576704,0.073376659,0.912238763,261.35,260,28,0.5049,0.5555,0.5302,0,21,-0.14186148,SHORT_STRADDLE,0.267562203
12/6/2021,263.12,0.006749697,0.674969672,0.384844515,0.38087126,0.056495932,0.903443867,263.12,265,25,0.4586,0.4541,0.4563,0,13.2,-0.071455485,SHORT_STRADDLE,0.1565976
12/7/2021,263.99,0.003301022,0.330102176,0.371270788,0.358319575,0.073289937,0.912227504,263.99,265,31,0.4629,0.5081,0.4855,0,0,-0.114229212,SHORT_STRADDLE,0.235281589
12/8/2021,267.87,0.014590565,1.459056456,0.362100356,0.346081773,0.073834211,0.912181636,267.87,270,30,0.4206,0.4231,0.4219,13.4,17.5,-0.059799644,SHORT_STRADDLE,0.141738905
12/9/2021,268.04,0.000634435,0.063443491,0.367738875,0.353077561,0.05705063,0.903685154,268.04,270,29,0.4829,0.411,0.447,13.35,17.35,-0.079261125,SHORT_STRADDLE,0.177317952
12/10/2021,270.82,0.01031817,1.031817045,0.344862746,0.327221743,0.073229336,0.91228954,270.82,270,28,0.4116,0.4339,0.4228,12.69,17.35,-0.077937254,SHORT_STRADDLE,0.184335984
12/13/2021,264.02,-0.025429536,-2.54295357,0.337080706,0.318733409,0.072967379,0.912300672,264.02,265,25,0.4514,0.4521,0.4518,12.5,13.55,-0.114719294,SHORT_STRADDLE,0.253916101
12/14/2021,241,-0.091227924,-9.122792436,0.342929491,0.326416464,0.072659137,0.912231926,241,255,31,0.4586,0.4685,0.4635,7.15,0,-0.120570509,SHORT_STRADDLE,0.260130547
12/15/2021,226.5,-0.062051989,-6.205198857,0.501797493,0.510545922,0.072088639,0.910972853,226.5,225,30,0.5907,0.587,0.5889,16.82,0,-0.087102507,SHORT_STRADDLE,0.147907127
12/16/2021,204.12,-0.104036889,-10.40368887,0.543450365,0.559068208,0.073171984,0.910655323,204.12,205,29,0.6537,0.725,0.6894,13.43,15.45,-0.145949635,SHORT_STRADDLE,0.211705301
12/17/2021,223.59,0.091105961,9.110596137,0.580675177,0.652339881,0.062471899,0.904582685,223.59,215,28,0.6291,0.6968,0.6629,17.61,14.25,-0.082224823,SHORT_STRADDLE,0.124038049
12/20/2021,205.61,-0.083832847,-8.383284703,0.778167646,0.805523013,0.080104885,0.909770212,205.61,215,25,0.6588,0.6337,0.6462,15.25,19.35,0.131967646,LONG_STRADDLE,0.204221056
12/21/2021,227,0.098968847,9.896884695,0.833303461,0.861721524,0.081324613,0.909494343,227,217.5,31,0.5644,0.5921,0.5783,19.6,13.5,0.255003461,LONG_STRADDLE,0.44095359
12/22/2021,237.84,0.046648161,4.664816121,0.921642972,0.948286224,0.083222795,0.909263011,237.84,235,30,0.5467,0.5349,0.5408,16.3,16.65,0.380842972,LONG_STRADDLE,0.704221472
12/23/2021,240.78,0.012285475,1.228547482,0.934427318,1.055525682,0.138800906,0.83499137,240.78,240,29,0.5105,0.5248,0.5176,14.1,13.7,0.416827318,LONG_STRADDLE,0.805307802
